Mode,Matrix,Threads,Schedule,ChunkSize,L1_MissRate,LLC_MissRate
parallel,torso1.mtx,2,static,4,0.7450782745620783,84.58287107461081
parallel,torso1.mtx,2,dynamic,64,0.7407241861355672,84.81207468570632
parallel,torso1.mtx,2,guided,4,0.745085260851008,84.95945708596777
parallel,torso1.mtx,4,static,4,0.7406994713582089,83.63017451324056
parallel,torso1.mtx,4,dynamic,64,0.7416961096044753,84.94313063528743
parallel,torso1.mtx,4,guided,4,0.739364605634137,83.47714270250427
parallel,torso1.mtx,8,static,4,0.7445247309061971,85.34965477518995
parallel,torso1.mtx,8,dynamic,64,0.7424560302016888,84.96000487744192
parallel,torso1.mtx,8,guided,4,0.7364420936216625,82.91103507372375
parallel,torso1.mtx,16,static,4,0.7426105669154829,84.3279207575375
parallel,torso1.mtx,16,dynamic,64,0.742727530327677,84.45018963251341
parallel,torso1.mtx,16,guided,4,0.7477707913547105,85.51461560227389
parallel,torso1.mtx,32,static,4,0.749697608660806,83.75922535155735
parallel,torso1.mtx,32,dynamic,64,0.7416630594190048,84.88243618615373
parallel,torso1.mtx,32,guided,4,0.7407243194158479,84.84544738118629
parallel,torso1.mtx,64,static,4,0.7440338941379052,82.43293350206565
parallel,torso1.mtx,64,dynamic,64,0.7483117355223818,84.77107918264272
parallel,torso1.mtx,64,guided,4,0.7425671653228674,84.7856275127097
