Matrix,Schedule,Threads,ChunkSize,p90_Time_ms,p90_GFLOPs,Speedup,Efficiency
atmosmodd.mtx,guided,32,4,61.17299,1.577866,0.37441001330816104,1.1700312915880033
atmosmodd.mtx,guided,32,16,58.24419999999999,2.429261,0.3932370948523631,1.2288659214136346
atmosmodd.mtx,guided,32,64,34.71222,2.637683,0.6598189340814272,2.06193416900446
atmosmodd.mtx,guided,32,256,35.329119999999996,2.47516,0.6482974950975288,2.0259296721797773
atmosmodd.mtx,guided,32,1024,35.08263,2.4888369999999997,0.652852422979691,2.0401638218115346
atmosmodd.mtx,static,64,1,20.59358,1.0291540000000001,1.1121805922039782,1.737782175318716
atmosmodd.mtx,static,64,4,15.215939999999994,1.5809250000000001,1.505249100614225,2.3519517197097266
atmosmodd.mtx,static,64,16,12.417729999999999,1.828141,1.8444417780061253,2.8819402781345707
atmosmodd.mtx,static,64,64,15.128959999999994,2.307896,1.5139031367655154,2.3654736511961176
atmosmodd.mtx,static,64,256,32.06268999999999,2.25763,0.71434368108228,1.1161620016910625
atmosmodd.mtx,static,64,1024,26.397059999999993,4.108155,0.8676640504662264,1.3557250788534787
atmosmodd.mtx,dynamic,64,1,86.47496,0.20875929999999998,0.26486025550055187,0.41384414921961227
atmosmodd.mtx,dynamic,64,4,25.60209,0.7731102,0.894605870067639,1.397821671980686
atmosmodd.mtx,dynamic,64,16,13.999479999999995,1.793601,1.636045053101973,2.556320395471833
atmosmodd.mtx,dynamic,64,64,31.047629999999995,1.854196,0.7376981753518709,1.1526533989872982
atmosmodd.mtx,dynamic,64,256,62.15215,2.116383,0.36851146742309,0.5757991678485781
atmosmodd.mtx,dynamic,64,1024,66.70479999999999,2.3093049999999997,0.34336029790959577,0.5365004654837434
atmosmodd.mtx,guided,64,1,68.56401999999999,2.057646,0.3340495496034218,0.5219524212553466
atmosmodd.mtx,guided,64,4,61.39067,2.574522,0.37308242441400297,0.5829412881468796
atmosmodd.mtx,guided,64,16,68.15458,2.663703,0.33605635894168817,0.5250880608463878
atmosmodd.mtx,guided,64,64,69.74018,2.5368209999999998,0.3284158429186733,0.5131497545604271
atmosmodd.mtx,guided,64,256,66.80158,2.7206439999999996,0.3428628484535845,0.5357232007087258
atmosmodd.mtx,guided,64,1024,76.85556,2.7391910000000004,0.2980107099603464,0.46564173431304123
circuit5M.mtx,static,2,1,142.39860000000002,0.8605167,0.6993644600438486,34.96822300219243
circuit5M.mtx,static,2,4,135.8725,0.8882232,0.7329556753574121,36.64778376787061
circuit5M.mtx,static,2,16,146.3581,0.8787357,0.680444198168738,34.0222099084369
circuit5M.mtx,static,2,64,112.7792,1.069569,0.8830397803850354,44.15198901925177
circuit5M.mtx,static,2,256,92.57406,1.301208,1.0757713337839994,53.78856668919997
circuit5M.mtx,static,2,1024,93.42845,1.285639,1.0659335566414725,53.29667783207363
circuit5M.mtx,dynamic,2,1,984.1103,0.1675764,0.10119650205876311,5.059825102938156
circuit5M.mtx,dynamic,2,4,362.592,0.40664199999999995,0.27465724560939014,13.732862280469508
circuit5M.mtx,dynamic,2,16,157.2023,0.7851803,0.6335054894235007,31.675274471175037
circuit5M.mtx,dynamic,2,64,111.7644,1.0980619999999999,0.8910576176313745,44.552880881568726
circuit5M.mtx,dynamic,2,256,91.28386,1.3368929999999999,1.0909762141960253,54.548810709801266
circuit5M.mtx,dynamic,2,1024,86.59764,1.44402,1.1500142498109647,57.50071249054823
circuit5M.mtx,guided,2,1,115.3701,1.4514729999999998,0.8632090983712417,43.16045491856209
circuit5M.mtx,guided,2,4,82.88388,1.445667,1.2015426883973093,60.077134419865466
circuit5M.mtx,guided,2,16,82.78474999999999,1.4464329999999999,1.202981466997243,60.14907334986215
circuit5M.mtx,guided,2,64,82.574,1.454707,1.206051783854482,60.3025891927241
circuit5M.mtx,guided,2,256,82.74215000000001,1.4462249999999999,1.2036008249725199,60.18004124862599
circuit5M.mtx,guided,2,1024,115.7876,1.453544,0.8600965906539214,43.00482953269607
circuit5M.mtx,static,4,1,161.137,0.8218404,0.6180363293346655,15.450908233366636
circuit5M.mtx,static,4,4,148.2096,0.8367924,0.671943787716855,16.798594692921377
circuit5M.mtx,static,4,16,124.1189,1.009263,0.8023638623932374,20.059096559830934
circuit5M.mtx,static,4,64,90.29303999999999,1.35018,1.102947912707336,27.573697817683403
circuit5M.mtx,static,4,256,65.16543,1.8692,1.5282415845333943,38.20603961333486
circuit5M.mtx,static,4,1024,64.33206,1.8752849999999999,1.54803872283897,38.70096807097425
circuit5M.mtx,dynamic,4,1,1000.167,0.12414339999999999,0.09957189149412046,2.4892972873530117
circuit5M.mtx,dynamic,4,4,344.6519,0.35471769999999997,0.28895392713633666,7.223848178408416
circuit5M.mtx,dynamic,4,16,150.9227,0.814776,0.6598644206603778,16.496610516509445
circuit5M.mtx,dynamic,4,64,90.69507999999999,1.332843,1.0980586819042444,27.45146704760611
circuit5M.mtx,dynamic,4,256,72.6202,1.662212,1.3713611364331135,34.28402841082784
circuit5M.mtx,dynamic,4,1024,68.62764,1.762438,1.451143008851827,36.278575221295675
circuit5M.mtx,guided,4,1,104.77709999999999,1.551442,0.9504798281303835,23.761995703259586
circuit5M.mtx,guided,4,4,80.53452999999999,1.557227,1.2365940423319042,30.914851058297604
circuit5M.mtx,guided,4,16,105.36160000000001,1.5564010000000001,0.9452069824300312,23.63017456075078
circuit5M.mtx,guided,4,64,77.99098,1.542176,1.2769235621862938,31.923089054657343
circuit5M.mtx,guided,4,256,78.12062999999999,1.542798,1.2748043634568744,31.87010908642186
circuit5M.mtx,guided,4,1024,103.684,1.568339,0.960500366498206,24.01250916245515
circuit5M.mtx,static,8,1,160.1147,0.8615353,0.6219823663910933,7.774779579888666
circuit5M.mtx,static,8,4,138.4497,0.9980013,0.719311923391672,8.991399042395901
circuit5M.mtx,static,8,16,98.17882,1.244787,1.0143584940214192,12.67948117526774
circuit5M.mtx,static,8,64,75.83302,1.708967,1.3132606350109752,16.415757937637192
circuit5M.mtx,static,8,256,58.43301,2.125023,1.7043195276094794,21.30399409511849
circuit5M.mtx,static,8,1024,59.01899,2.1299319999999997,1.687397903623901,21.092473795298762
circuit5M.mtx,dynamic,8,1,718.5674,0.16719779999999998,0.13859315076080544,1.7324143845100681
circuit5M.mtx,dynamic,8,4,252.81869999999998,0.48794360000000003,0.39391279205217017,4.923909900652127
circuit5M.mtx,dynamic,8,16,106.5152,1.144477,0.9349700324460734,11.687125405575918
circuit5M.mtx,dynamic,8,64,72.54366,1.7181019999999998,1.3728080441488613,17.160100551860765
circuit5M.mtx,dynamic,8,256,65.05925,1.982865,1.5307357524103027,19.134196905128782
circuit5M.mtx,dynamic,8,1024,57.98716,2.117798,1.7174236503391438,21.467795629239298
circuit5M.mtx,guided,8,1,99.90515,1.529313,0.9968306939131765,12.460383673914706
circuit5M.mtx,guided,8,4,102.437,1.5295969999999999,0.9721928600017571,12.152410750021964
circuit5M.mtx,guided,8,16,99.85428999999999,1.5263820000000001,0.9973384218144258,12.466730272680323
circuit5M.mtx,guided,8,64,99.70619,1.5358500000000002,0.998819832550015,12.485247906875188
circuit5M.mtx,guided,8,256,99.74117,1.5321310000000001,0.9984695387070354,12.480869233837941
